OBJECTID,COUNTY,COUNTY_ID,COUNTY_LABEL,CO,GNIS_NAME,GNIS,FIPSSTCO,FIPSCO,ACRES,SQ_MILES,POP2020,POP2010,POP2000,POP1990,POP1980,POPDEN2020,POPDEN2010,POPDEN2000,POPDEN1990,POPDEN1980,REGION,Shape_Length,Shape_Area
22,ATLANTIC,1,Atlantic County,ATL,County of Atlantic,882270,34001,1,390813.841,610.6466265,274534,274549,252552,275372,204615,450,450,414,451,335,COASTAL,650228.1539,17023850913
23,BERGEN,2,Bergen County,BER,County of Bergen,882271,34003,3,153489.6612,239.8275957,955732,905116,884118,829592,849843,3985,3774,3686,3459,3544,NORTHEASTERN,443326.122,6686009643
24,BURLINGTON,3,Burlington County,BUR,County of Burlington,882272,34005,5,524901.24,820.1581874,461860,448734,423394,395066,362542,563,547,516,482,442,SOUTHERN,788705.2695,22864698013
25,CAMDEN,4,Camden County,CAM,County of Camden,882273,34007,7,145594.972,227.4921438,523485,513657,508932,532498,471650,2301,2258,2237,2341,2073,SOUTHERN,495429.7833,6342116981
26,CAPE MAY,5,Cape May County,CAP,County of Cape May,882274,34009,9,183125.8417,286.1341277,95263,97265,102326,95089,82266,333,340,358,332,288,COASTAL,514564.8588,7976961665
27,CUMBERLAND,6,Cumberland County,CUM,County of Cumberland,882275,34011,11,321149.037,501.7953703,154152,156898,146438,138053,132866,307,313,292,275,265,SOUTHERN,704221.6186,13989252050
28,ESSEX,7,Essex County,ESS,County of Essex,882276,34013,13,83034.52735,129.741449,863728,783969,793633,748281,850451,6657,6043,6117,5767,6555,NORTHEASTERN,344556.5577,3616984011
29,GLOUCESTER,8,Gloucester County,GLO,County of Gloucester,882277,34015,15,215075.2371,336.055058,302294,288288,254673,230082,199917,900,858,758,685,595,SOUTHERN,561337.2913,9368677328
30,HUDSON,9,Hudson County,HUD,County of Hudson,882278,34017,17,32982.26887,51.5347951,724854,634266,608975,553099,556972,14065,12307,11817,10732,10808,NORTHEASTERN,381357.99,1436707632
31,HUNTERDON,10,Hunterdon County,HUN,County of Hunterdon,882228,34019,19,279878.2191,437.3097173,128947,128349,121989,107776,87361,295,293,279,246,200,CENTRAL,561329.1275,12191495223
32,MERCER,11,Mercer County,MER,County of Mercer,882229,34021,21,146441.7536,228.81524,387340,366513,350761,325824,307863,1693,1602,1533,1424,1345,CENTRAL,483944.714,6379002787
33,MONMOUTH,13,Monmouth County,MON,County of Monmouth,882910,34025,25,310833.0215,485.6765962,643615,630380,615301,638345,582982,1325,1298,1267,1314,1200,COASTAL,733254.7956,13539886418
34,OCEAN,15,Ocean County,OCE,County of Ocean,882279,34029,29,485076.5005,757.9320321,637229,576567,510916,443424,356502,841,761,674,585,470,COASTAL,722804.1657,21129932363
35,PASSAIC,16,Passaic County,PAS,County of Passaic,882232,34031,31,127008.3923,198.450613,524118,501226,489049,453060,447585,2641,2527,2466,2284,2257,NORTHEASTERN,493129.9144,5532485569
36,SALEM,17,Salem County,SAL,County of Salem,882233,34033,33,222157.7674,347.1215116,64837,66083,64285,65294,64676,187,190,185,188,186,SOUTHERN,664545.3387,9677192349
37,SOMERSET,18,Somerset County,SOM,County of Somerset,882234,34035,35,195126.5827,304.8852854,345361,323444,297490,240279,203129,1133,1061,976,788,666,CENTRAL,541587.5073,8499713941
38,SUSSEX,19,Sussex County,SUS,County of Sussex,882236,34037,37,342617.2268,535.3394168,144221,149265,144166,138991,123621,269,279,269,260,231,NORTHWESTERN,525869.4623,14924406397
39,UNION,20,Union County,UNI,County of Union,882235,34039,39,67438.32284,105.3723794,575345,536499,522541,493819,504094,5460,5091,4959,4686,4784,NORTHEASTERN,321814.3985,2937613343
40,WARREN,21,Warren County,WAR,County of Warren,882237,34041,41,232042.0391,362.565686,109632,108692,102437,91607,84429,302,300,283,253,233,NORTHWESTERN,554711.1527,10107751221
41,MORRIS,14,Morris County,MOR,County of Morris,882231,34027,27,308083.1972,481.3799956,509285,492276,470212,421353,407630,1058,1023,977,875,847,NORTHEASTERN,750263.5247,13420104070
42,MIDDLESEX,12,Middlesex County,MID,County of Middlesex,882230,34023,23,202858.7501,316.966797,863162,809858,750162,671780,595893,2723,2555,2367,2119,1880,CENTRAL,505626.8217,8836527154
