"county_id","murder_2018","rape_2018","robbery_2018","assualt_2018","burglary_2018","larceny_2018","auto_theft_2018","total_2018","murder_2019","rape_2019","robbery_2019","assualt_2019","burglary_2019","larceny_2019","auto_theft_2019","total_2019","murder_2020","rape_2020","robbery_2020","assualt_2020","burglary_2020","larceny_2020","auto_theft_2020","total_2020","COUNTY_NAME","POPULATION_25_PLUS","MEDIAN_HOUSEHOLD_INCOME","HIGH_SCHOOL","BACHELOR","MASTERS","DOCTORATE","PROFESSIONAL","HIGH_SCHOOL_PERCENTAGE","BACHELOR_PERCENTAGE","MASTERS_PERCENTAGE","DOCTORATE_PERCENTAGE","PROFESSIONAL_PERCENTAGE","TOTAL_BACHELOR_PLUS_PERCENTAGE","OBJECTID","COUNTY","COUNTY_ID","COUNTY_LABEL","CO","GNIS_NAME","GNIS","FIPSSTCO","FIPSCO","ACRES","SQ_MILES","POP2020","POP2010","POP2000","POP1990","POP1980","POPDEN2020","POPDEN2010","POPDEN2000","POPDEN1990","POPDEN1980","REGION","Shape_Length","Shape_Area"
2,"4","78","209","442","852","6953","532","9070","9","61","164","475","849","6683","552","8793","9","62","135","355","734","5729","670","7694","Bergen",658233,104623,133493,203933,90253,12622,26701,"20.28050857","30.98188635","13.71140614","1.917558068","4.056466327","50.66731689",23,"BERGEN",2,"Bergen County","BER","County of Bergen",882271,34003,3,"153489.6612","239.8275957",955732,905116,884118,829592,849843,3985,3774,3686,3459,3544,"NORTHEASTERN","443326.122","6686009643"
5,"1","22","37","124","313","1531","37","2065","0","24","23","114","291","1574","45","2071","0","19","25","110","237","1559","60","2010","Cape May",69871,72385,20176,15077,6183,575,1609,"28.87607162","21.57833722","8.84916489","0.822945142","2.302815188","33.55326244",26,"CAPE MAY",5,"Cape May County","CAP","County of Cape May",882274,34009,9,"183125.8417","286.1341277",95263,97265,102326,95089,82266,333,340,358,332,288,"COASTAL","514564.8588","7976961665"
8,"9","26","114","203","843","3663","219","5077","2","23","64","212","724","3600","207","4832","7","14","81","244","579","3069","194","4188","Gloucester",202353,89056,57091,45734,16982,2285,3387,"28.21356738","22.60109808","8.392265002","1.129214788","1.673807653","33.79638552",29,"GLOUCESTER",8,"Gloucester County","GLO","County of Gloucester",882277,34015,15,"215075.2371","336.055058",302294,288288,254673,230082,199917,900,858,758,685,595,"SOUTHERN","561337.2913","9368677328"
11,"22","93","432","810","1431","4726","576","8090","20","118","389","837","935","4158","503","6960","41","103","343","1016","863","3621","478","6465","Mercer",248245,83306,57185,57526,34196,9396,6946,"23.03571069","23.17307499","13.77510121","3.784970493","2.798042257","43.53118895",32,"MERCER",11,"Mercer County","MER","County of Mercer",882229,34021,21,"146441.7536","228.81524",387340,366513,350761,325824,307863,1693,1602,1533,1424,1345,"CENTRAL","483944.714","6379002787"
14,"1","26","42","101","387","2626","222","3405","3","42","43","179","426","2396","204","3293","4","19","35","137","350","2332","254","3131","Morris",346577,117298,61342,112546,57685,7319,13976,"17.69938571","32.47359173","16.64420893","2.111796224","4.032581504","55.26217839",41,"MORRIS",14,"Morris County","MOR","County of Morris",882231,34027,27,"308083.1972","481.3799956",509285,492276,470212,421353,407630,1058,1023,977,875,847,"NORTHEASTERN","750263.5247","13420104070"
17,"5","11","28","70","253","713","54","1134","4","26","42","109","199","649","71","1100","16","24","53","106","223","615","77","1114","Salem",44054,64234,15409,6396,2144,389,623,"34.97752758","14.51854542","4.866754438","0.883007218","1.414173514","21.68248059",36,"SALEM",17,"Salem County","SAL","County of Salem",882233,34033,33,"222157.7674","347.1215116",64837,66083,64285,65294,64676,187,190,185,188,186,"SOUTHERN","664545.3387","9677192349"
20,"9","81","621","756","1311","7036","1230","11044","12","108","624","834","956","7295","1191","11020","31","89","455","843","745","5832","1229","9224","Union",378158,82644,99258,84189,40391,5609,9932,"26.24775887","22.26291656","10.6809852","1.483242454","2.626415414","37.05355962",39,"UNION",20,"Union County","UNI","County of Union",882235,34039,39,"67438.32284","105.3723794",575345,536499,522541,493819,504094,5460,5091,4959,4686,4784,"NORTHEASTERN","321814.3985","2937613343"
1,"16","46","231","391","865","4657","196","6402","13","49","272","338","857","5174","283","6986","17","55","183","410","793","3978","283","5719","Atlantic",184504,63680,53404,34403,13356,1731,3608,"28.94462993","18.64620821","7.23886745","0.938191042","1.95551316","28.77877986",22,"ATLANTIC",1,"Atlantic County","ATL","County of Atlantic",882270,34001,1,"390813.841","610.6466265",274534,274549,252552,275372,204615,450,450,414,451,335,"COASTAL","650228.1539","17023850913"
3,"6","84","163","422","1046","4204","284","6209","12","99","142","410","770","4077","304","5814","11","96","100","426","630","3620","301","5184","Burlington",316051,90329,78222,78710,31119,3578,8152,"24.74980304","24.9042085","9.846195709","1.132095769","2.579330551","38.46183053",24,"BURLINGTON",3,"Burlington County","BUR","County of Burlington",882272,34005,5,"524901.24","820.1581874",461860,448734,423394,395066,362542,563,547,516,482,442,"SOUTHERN","788705.2695","22864698013"
4,"33","140","638","1158","1905","8349","850","13073","30","110","547","1237","1552","8115","909","12500","29","95","426","1356","1156","7723","760","11545","Camden",349563,70957,90822,69890,29835,4121,8892,"25.98158272","19.99353478","8.534942199","1.178900513","2.543747479","32.25112498",25,"CAMDEN",4,"Camden County","CAM","County of Camden",882273,34007,7,"145594.972","227.4921438",523485,513657,508932,532498,471650,2301,2258,2237,2341,2073,"SOUTHERN","495429.7833","6342116981"
